Method,Seed_42,Seed_123,Seed_999,Mean,Std
NO-RAG,53,57,55,55.0,2.0
Vanilla-RAG,151,154,155,153.33,2.08
Self-RAG,256,260,258,258.0,2.0
GraphRAG,200,204,202,202.0,2.0
HyDE-RAG,198,203,199,200.0,2.65
